qemu-system-riscv64 -machine virt -bios none -kernel kernel/kernel -m 128M -smp 1 -nographic -global virtio-mmio.force-legacy=false -drive file=fs.img,if=none,format=raw,id=x0 -device virtio-blk-device,drive=x0,bus=virtio-mmio-bus.0

xv6 kernel is booting

init: starting sh
$ cpubench & ;
$ 5: 10086 KFLOP1000T
5: 10056 KFLOP1000T
5: 10086 KFLOP1000T
5: 10066 KFLOP1000T
5: 10076 KFLOP1000T
5: 10066 KFLOP1000T
5: 10096 KFLOP1000T
5: 10066 KFLOP1000T
5: 10076 KFLOP1000T
5: 10086 KFLOP1000T
5: 10066 KFLOP1000T
5: 10086 KFLOP1000T
5: 10076 KFLOP1000T
5: 10086 KFLOP1000T
5: 10056 KFLOP1000T
5: 10066 KFLOP1000T
5: 10096 KFLOP1000T
5: 10096 KFLOP1000T
5: 10086 KFLOP1000T
5: 10105 KFLOP1000T
5: 10105 KFLOP1000T
5: 10086 KFLOP1000T
5: 10076 KFLOP1000T
5: 10086 KFLOP1000T
5: 10086 KFLOP1000T
5: 10076 KFLOP1000T
5: 10086 KFLOP1000T
5: 10076 KFLOP1000T
5: 10076 KFLOP1000T
5: 10076 KFLOP1000T
5: 10006 KFLOP1000T
